Institution,Site,Academic_Year,Term,ZIP_Code,Full_or_Part_Time,Headcount
SLCC,Main Campus,2020,2,84765,Full-Time,1
SLCC,Main Campus,2020,2,84770,Full-Time,2
SLCC,Main Campus,2020,2,84770,Part-Time,3
SLCC,Main Campus,2020,2,84780,Full-Time,2
SLCC,Main Campus,2020,2,84780,Part-Time,5
SLCC,Main Campus,2020,2,84790,Full-Time,1
SLCC,Main Campus,2020,2,84790,Part-Time,7
SLCC,SLCC Airport Center,2020,2,84003,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84005,Full-Time,2
SLCC,SLCC Airport Center,2020,2,84009,Full-Time,2
SLCC,SLCC Airport Center,2020,2,84010,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84010,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84014,Full-Time,2
SLCC,SLCC Airport Center,2020,2,84020,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84020,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84025,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84029,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84032,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84037,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84037,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84040,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84041,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84041,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84042,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84043,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84044,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84047,Full-Time,2
SLCC,SLCC Airport Center,2020,2,84047,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84054,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84054,Part-Time,2
SLCC,SLCC Airport Center,2020,2,84055,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84057,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84058,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84062,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84065,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84065,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84067,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84074,Full-Time,2
SLCC,SLCC Airport Center,2020,2,84074,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84081,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84081,Part-Time,2
SLCC,SLCC Airport Center,2020,2,84084,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84088,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84088,Part-Time,3
SLCC,SLCC Airport Center,2020,2,84092,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84094,Full-Time,2
SLCC,SLCC Airport Center,2020,2,84095,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84096,Full-Time,4
SLCC,SLCC Airport Center,2020,2,84102,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84103,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84103,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84104,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84105,Full-Time,2
SLCC,SLCC Airport Center,2020,2,84107,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84107,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84109,Full-Time,2
SLCC,SLCC Airport Center,2020,2,84115,Full-Time,2
SLCC,SLCC Airport Center,2020,2,84116,Full-Time,4
SLCC,SLCC Airport Center,2020,2,84117,Full-Time,1
